competitor_id,name,country,country_code,abbreviation,raw_json
sr:competitor:59131,"Glasspool, Lloyd",Great Britain,GBR,GLA,"{""id"": ""sr:competitor:59131"", ""name"": ""Glasspool, Lloyd"", ""country"": ""Great Britain"", ""country_code"": ""GBR"", ""abbreviation"": ""GLA""}"
sr:competitor:108099,"Cash, Julian",Great Britain,GBR,CAS,"{""id"": ""sr:competitor:108099"", ""name"": ""Cash, Julian"", ""country"": ""Great Britain"", ""country_code"": ""GBR"", ""abbreviation"": ""CAS""}"
sr:competitor:49363,"Pavic, Mate",Croatia,HRV,PAV,"{""id"": ""sr:competitor:49363"", ""name"": ""Pavic, Mate"", ""country"": ""Croatia"", ""country_code"": ""HRV"", ""abbreviation"": ""PAV""}"
sr:competitor:51836,"Arevalo-Gonzalez, Marcelo",El Salvador,SLV,ARE,"{""id"": ""sr:competitor:51836"", ""name"": ""Arevalo-Gonzalez, Marcelo"", ""country"": ""El Salvador"", ""country_code"": ""SLV"", ""abbreviation"": ""ARE""}"
sr:competitor:16160,"Zeballos, Horacio",Argentina,ARG,ZEB,"{""id"": ""sr:competitor:16160"", ""name"": ""Zeballos, Horacio"", ""country"": ""Argentina"", ""country_code"": ""ARG"", ""abbreviation"": ""ZEB""}"
sr:competitor:15568,"Granollers, Marcel",Spain,ESP,GRA,"{""id"": ""sr:competitor:15568"", ""name"": ""Granollers, Marcel"", ""country"": ""Spain"", ""country_code"": ""ESP"", ""abbreviation"": ""GRA""}"
sr:competitor:14898,"Heliovaara, Harri",Finland,FIN,HEL,"{""id"": ""sr:competitor:14898"", ""name"": ""Heliovaara, Harri"", ""country"": ""Finland"", ""country_code"": ""FIN"", ""abbreviation"": ""HEL""}"
sr:competitor:637970,"Patten, Henry",Great Britain,GBR,PAT,"{""id"": ""sr:competitor:637970"", ""name"": ""Patten, Henry"", ""country"": ""Great Britain"", ""country_code"": ""GBR"", ""abbreviation"": ""PAT""}"
sr:competitor:53785,"Skupski, Neal",Great Britain,GBR,SKU,"{""id"": ""sr:competitor:53785"", ""name"": ""Skupski, Neal"", ""country"": ""Great Britain"", ""country_code"": ""GBR"", ""abbreviation"": ""SKU""}"
sr:competitor:36593,"Krawietz, Kevin",Germany,DEU,KRA,"{""id"": ""sr:competitor:36593"", ""name"": ""Krawietz, Kevin"", ""country"": ""Germany"", ""country_code"": ""DEU"", ""abbreviation"": ""KRA""}"
sr:competitor:52293,"Putz, Tim",Germany,DEU,PUT,"{""id"": ""sr:competitor:52293"", ""name"": ""Putz, Tim"", ""country"": ""Germany"", ""country_code"": ""DEU"", ""abbreviation"": ""PUT""}"
sr:competitor:74173,"Salisbury, Joe",Great Britain,GBR,SAL,"{""id"": ""sr:competitor:74173"", ""name"": ""Salisbury, Joe"", ""country"": ""Great Britain"", ""country_code"": ""GBR"", ""abbreviation"": ""SAL""}"
sr:competitor:16608,"Mektic, Nikola",Croatia,HRV,MEK,"{""id"": ""sr:competitor:16608"", ""name"": ""Mektic, Nikola"", ""country"": ""Croatia"", ""country_code"": ""HRV"", ""abbreviation"": ""MEK""}"
sr:competitor:15310,"Bolelli, Simone",Italy,ITA,BOL,"{""id"": ""sr:competitor:15310"", ""name"": ""Bolelli, Simone"", ""country"": ""Italy"", ""country_code"": ""ITA"", ""abbreviation"": ""BOL""}"
sr:competitor:95801,"Vavassori, Andrea",Italy,ITA,VAV,"{""id"": ""sr:competitor:95801"", ""name"": ""Vavassori, Andrea"", ""country"": ""Italy"", ""country_code"": ""ITA"", ""abbreviation"": ""VAV""}"
sr:competitor:52065,"Harrison, Christian",USA,USA,HAR,"{""id"": ""sr:competitor:52065"", ""name"": ""Harrison, Christian"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""HAR""}"
sr:competitor:23899,"King, Evan",USA,USA,KIN,"{""id"": ""sr:competitor:23899"", ""name"": ""King, Evan"", ""country"": ""USA"", ""country_code"": ""USA"", ""abbreviation"": ""KIN""}"
sr:competitor:14835,"Roger-Vasselin, Edouard",France,FRA,ROG,"{""id"": ""sr:competitor:14835"", ""name"": ""Roger-Vasselin, Edouard"", ""country"": ""France"", ""country_code"": ""FRA"", ""abbreviation"": ""ROG""}"
sr:competitor:52202,"Nys, Hugo",Monaco,MCO,NYS,"{""id"": ""sr:competitor:52202"", ""name"": ""Nys, Hugo"", ""country"": ""Monaco"", ""country_code"": ""MCO"", ""abbreviation"": ""NYS""}"
sr:competitor:70348,"Goransson, Andre",Sweden,SWE,GOR,"{""id"": ""sr:competitor:70348"", ""name"": ""Goransson, Andre"", ""country"": ""Sweden"", ""country_code"": ""SWE"", ""abbreviation"": ""GOR""}"
sr:competitor:16151,"Venus, Michael",New Zealand,NZL,VEN,"{""id"": ""sr:competitor:16151"", ""name"": ""Venus, Michael"", ""country"": ""New Zealand"", ""country_code"": ""NZL"", ""abbreviation"": ""VEN""}"
sr:competitor:22967,"Bhambri, Yuki",India,IND,BHA,"{""id"": ""sr:competitor:22967"", ""name"": ""Bhambri, Yuki"", ""country"": ""India"", ""country_code"": ""IND"", ""abbreviation"": ""BHA""}"
sr:competitor:127646,"Cabral, Francisco",Portugal,PRT,CAB,"{""id"": ""sr:competitor:127646"", ""name"": ""Cabral, Francisco"", ""country"": ""Portugal"", ""country_code"": ""PRT"", ""abbreviation"": ""CAB""}"
sr:competitor:66864,"Arends, Sander",Netherlands,NLD,ARE,"{""id"": ""sr:competitor:66864"", ""name"": ""Arends, Sander"", ""country"": ""Netherlands"", ""country_code"": ""NLD"", ""abbreviation"": ""ARE""}"
